Zmienna;Jednostka terytorialna;Jednostka;Rok;Kwarta³;Wartoœæ
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2017;4;8859
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2018;1;8910
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2018;2;8979
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2018;3;9022
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2018;4;9081
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2019;1;9151
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2019;2;9180
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2019;3;9206
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2019;4;9227
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2020;1;9231
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2020;2;9034
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2020;3;9064
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2020;4;9094
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2021;1;9098
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2021;2;9132
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2021;3;9153
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2021;4;9185
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2022;1;9273
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2022;2;9310
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2022;3;9360
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2022;4;9398
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2023;1;9383
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2023;2;9399
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2023;3;9402
Przeciêtne zatrudnienie ogó³em;Polska;tysi¹ce;2023;4;9413
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2010;1;5304
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2010;2;5351
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2010;3;5392
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2010;4;5449
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2011;1;5511
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2011;2;5535
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2011;3;5557
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2011;4;5566
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2012;1;5557
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2012;2;5557
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2012;3;5548
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2012;4;5529
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2013;1;5509
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2013;2;5494
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2013;3;5491
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2013;4;5493
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2014;1;5508
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2014;2;5524
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2014;3;5537
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2014;4;5547
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2015;1;5563
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2015;2;5581
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2015;3;5610
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2015;4;5664
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2016;1;5701
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2016;2;5748
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2016;3;5782
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2016;4;5812
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2017;1;5949
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2017;2;5988
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2017;3;6047
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2017;4;6099
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2018;1;6158
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2018;2;6213
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2018;3;6256
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2018;4;6295
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2019;1;6352
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2019;2;6382
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2019;3;6410
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2019;4;6426
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2020;1;6416
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2020;2;6254
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2020;3;6281
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2020;4;6342
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2021;1;6324
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2021;2;6329
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2021;3;6346
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2021;4;6376
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2022;1;6480
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2022;2;6480
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2022;3;6516
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2022;4;6542
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2023;1;6539
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2023;2;6531
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2023;3;6528
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2023;4;6522
Przeciêtne zatrudnienie w sektorze przedsiêbiorstw;Polska;tysi¹ce;2024;1;6519
